place.name,place.description,place.prices,place.ratings,place.mentions,place.location,place.region,place.spenttime,place.openingtime
Marina Bay,Marinas • Bodies of Water,NA,4.5,"light show,shopping mall,singapore flyer,merlion park,infinity pool,walk around,food court,skyline,laser,architecture,mbs","AddressMarina Boulevard, Singapore 018980 Singapore",Neighborhood: Central,NA,NA
Merlion Park,Monuments & Statues,NA,4.0,"half lion,marina bay,iconic place,take pictures,singapore river,visit singapore,nice walk,symbol,statue,tourists,fountain,sg,stroll","Address1 Fullerton Road One Fullerton Merlion Park, Singapore 049213 Singapore",Neighborhood: Marina Bay,1-2 hours,NA
Orchard Road,Points of Interest & Landmarks,NA,4.0,"high end,shopping heaven,great shopping,international brands,christmas decorations,takashimaya,mall,stroll,heat",NA,Neighborhood: Somerset,More than 3 hours,NA
Clarke Quay,Shopping Malls,NA,4.5,"singapore river,hooters,chinese","Address3 River Valley Road Clarke Quay Nearest Train Station: NE5 Clarke Quay MRT and DT20 Fort Canning Station, Singapore 179019 Singapore",Neighborhood: Central Area/City Area,NA,NA
Haji Lane,Neighborhoods,NA,4.0,"street art,shops and cafes,muslim quarter,kampong glam,graffiti,selfie,indie,paintings,culture,arts,fabric","Address21A Haji Lane, Singapore 189214 Singapore",Neighborhood: Rochor,NA,11:00 AM - 8:00 PM
River Wonders,Zoos,NA,4.0,"boat ride,giant pandas,red panda,singapore zoo,jia jia,night safari,panda exhibit,amazon flooded forest,an aquarium,theme park,air conditioned,manatees,fishes,cruise,jaguar,exhibits,kai,yangtze,freshwater,monkeys,piranha,amazonian,tank,highlights,zoos,heat,sgd,mrt","Address80 Mandai Lake Road Singapore Zoological Gardens Singapore Zoological Gardens, Singapore 729826 Singapore",Neighborhood: Central Water Catchment,2-3 hours,10:00 AM - 7:00 PM
Battlebox,Military Museums • Historic Sites,NA,5.0,"battle box,guided tour,underground bunker,fort canning park,world war,excellent tour,wax figures,knowledgeable guide,history lesson,well worth a visit,air conditioned,surrender,ww2,japanese,buffs,insight,malaya,allied,films,facts,soldiers,role,overview,perspective,commentary","Address2 Cox Terrace Fort Canning Park, Singapore 179622 Singapore",Neighborhood: Museum,1-2 hours,NA
Maxwell Food Centre,Flea & Street Markets,NA,4.0,"chicken pie,tian tian chicken rice,porridge,rojak,zhen zhen,hawker food,cheap food,hawker stalls,chinese","Address1 Kadayanallur Street, Singapore 069184 Singapore",Neighborhood: Central Business District,NA,8:00 AM - 2:00 AM
OCBC Skyway,Scenic Walking Areas,from $15.26,4.5,"light show,super trees,photo opportunities,walkway,tickets,bay,treetops,overview,angle,flyer","Address18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",Neighborhood: Central Area/City Area,< 1 hour,NA
National Gallery Singapore,Architectural Buildings • Art Museums,from $7.63,4.5,"asian art,supreme court,holding cells,art pieces,permanent collection,general admission,on display,artists,architecture,exhibits,arts,wu,courthouse,courtroom,picasso,century,docent,master,teacher","Address1 St. Andrew's Road #01-01 National Gallery Singapore, Singapore 178957 Singapore",Neighborhood: City Hall,2-3 hours,10:00 AM - 7:00 PM
Asian Civilisations Museum,History Museums,from $4.40,4.5,"tang dynasty,special exhibition,singapore river,entrance fee,artifacts,collection,galleries,porcelain,wreck,context,arts","Address1 Empress Place Empress Place Building, Singapore 179555 Singapore",Neighborhood: City Hall,2-3 hours,10:00 AM - 7:00 PM
The Southern Ridges,Hiking Trails • Scenic Walking Areas,NA,4.5,"kent ridge park,henderson waves,hort park,mt faber,canopy walk,great walk,bukit chandu,science park,telok blangah,cable car,harbourfront,trail,treetops,route,nature,trees,barracks,parts,birds,height","AddressAlexandra Road Mount Faber Park; Telok Blangah Hill Park; or Kent Ridge Park, Singapore 099203 Singapore",Neighborhood: Kent Ridge,NA,NA
East Coast Park,Beaches • Parks,NA,4.5,"clean beach,marina barrage,bike,cyclists,boating,jog,path,stroll,changi,bay","AddressAlong East Coast Parkway and East Coast Park Service Road, Singapore 455486 Singapore",Neighborhood: Marine Parade,2-3 hours,NA
The Helix Bridge,Historic Walking Areas • Bridges,NA,4.5,"marina bay,art science museum,dna,structure,spiral,viewing,landmark","AddressLinking between Marina Bay and Marina Centre, Singapore 038981 Singapore",Neighborhood: Central Area/City Area,NA,NA
MacRitchie Reservoir,Bodies of Water,NA,4.5,"nature trail,jelutong tower,nature reserve,hike,canoeing,macaques,joggers,catchment,loop,trees,route,picnic",NA,Neighborhood: Central Water Catchment,NA,NA
Waterfront Promenade,Scenic Walking Areas,NA,4.5,"evening walk,merlion park,bay,laser,mbs",NA,Neighborhood: Marina Centre,NA,NA
Chinese and Japanese Gardens,Gardens,NA,4.0,"jurong,mrt","Address1 Chinese Garden Road Chinese Garden, Singapore 619795 Singapore",Neighborhood: Jurong East,1-2 hours,NA
Fort Canning Park,Parks,NA,4.0,"battle box,spice garden,british army,clarke quay,heritage trees,iskender,singapore history,bunker,cannon,surrender,raffles,archaeological,japanese,century,escalator,nature,reservoir,jog,heat,squirrels,landmark,plants","AddressRiver Valley Rd, Singapore 179038 Singapore",Neighborhood: Museum,1-2 hours,NA
F1 - Singapore Grand Prix,Sporting Events,NA,4.5,,"AddressMarina Bay Street Circuit, Singapore 038975 Singapore",Neighborhood: Marina Centre,More than 3 hours,NA
The Shoppes at Marina Bay Sands,Shopping Malls,NA,4.5,"high end,shopping mall,marina bay sands,under one roof,twg,mbs","Address10 Bayfront Avenue Marina Bay Sands, Singapore 018972 Singapore",Neighborhood: Marina Bay,NA,10:00 AM - 11:00 PM
Arab Street,Neighborhoods,NA,4.0,"lebanese food,fabric,textiles,shopping,culture,chinatown",NA,Neighborhood: Rochor,1-2 hours,11:00 AM - 9:00 PM
Sungei Buloh Wetland Reserve,Nature & Wildlife Areas,NA,4.5,"migratory birds,low tide,coastal trail,bird watchers,kranji mrt,nature lovers,salt water crocodiles,eagle point,flora and fauna,nature walk,public transport,worth the trip,their natural habitat,mudskippers,wetlands,crocs,binoculars,malaysia,mudflats,migration,birdwatchers,route,lookout,forest,heat","Address301 Neo Tiew Crescent Sungei Buloh Wetland Reserve, Singapore 718925 Singapore",Neighborhood: Lim Chu Kang,NA,7:30 AM - 7:00 PM
Chijmes,Historic Sites,NA,4.0,"holy infant,lei garden,carlton hotel,raffles city,beautiful architecture,church,school,prive,orphanage,nuns,catholic,heritage","Address30 Victoria Street Chijmes, Singapore 187996 Singapore",Neighborhood: City Hall,NA,NA
Haw Par Villa,Historic Sites • Amusement & Theme Parks • Gardens,NA,4.0,"tiger balm,chinese mythology,theme park,pasir panjang,dioramas,legend,court,stories,depicting,depicted,parts,thousands","Address262 Pasir Panjang Road Haw Par Villa 1-min walk from Haw Par Villa MRT Station, Singapore 118628 Singapore",Neighborhood: Pasir Panjang 1,1-2 hours,9:00 AM - 7:00 PM
Chinatown Heritage Centre,Speciality Museums,from $12.83,4.5,"living conditions,well worth a visit,information","Address48 Pagoda Street, Singapore 059207 Singapore",Neighborhood: Outram,NA,9:30 AM - 6:30 PM
Butterfly Garden,Gardens,NA,4.5,,NA,Neighborhood: Changi,< 1 hour,NA
Henderson Waves,Bridges,NA,4.5,"southern ridges,mt faber,pedestrian bridge,henderson road,telok blangah hill park,hort park,vivo city,beautiful bridge,alexandra arch,harbour front,hike,viewpoint,mrt","Address221 Henderson Road Henderson Building, Singapore 159557 Singapore",Neighborhood: Telok Blangah Drive,NA,12:00 AM - 11:59 PM
Wild Wild Wet,Water Parks,from $19.86,4.0,"wave pool,great fun,torpedo,lockers,bikes,lah,park,attractions,thrill,river,playground,benches,kfc,mall,card","Address1 Pasir Ris Close E!Hub@Downtown East, Singapore 519599 Singapore",Neighborhood: Pasir Ris,2-3 hours,12:00 PM - 6:00 PM
VivoCity,Shopping Malls,NA,4.0,"vivo city,sentosa island,sentosa express,largest mall,harbourfront mrt station,taxi stand,cable car,sky park,shopping,cinema,rooftop,playground,movie,cuisine,clothing,taxis","Address1 Harbourfront Walk Vivo City, Singapore 098585 Singapore",Neighborhood: Bukit Merah,NA,NA
Science Centre Singapore,Science Museums,NA,4.0,"omni theatre,hands on activities,exhibits,butterfly,maze,butterflies","Address15 Science Centre Road Singapore Science Centre, Singapore 609081 Singapore",Neighborhood: Jurong East,More than 3 hours,NA
Esplanade - Theatres on the Bay,Points of Interest & Landmarks • Theaters,NA,4.5,"durian,art","Address1 Esplanade Drive Esplanade - Theatres On the Bay, Singapore 038981 Singapore",Neighborhood: Marina Centre,1-2 hours,NA
Kampong Glam,Neighborhoods,NA,4.5,"sultan mosque,haji lane,arab street,malay heritage centre,victoria street,muslim quarter,narrow streets,walk around,kandahar,bugis,enclave,murals,traders",NA,Neighborhood: Rochor,NA,NA
Suntec City,Shopping Malls,from $19.86,4.0,"high end,walk around,shopping,movie,esplanade,mrt","Address3 Temasek Boulevard Suntec City, Singapore 038983 Singapore",Neighborhood: Marina Centre,More than 3 hours,10:00 AM - 10:00 PM
Boat Quay,Points of Interest & Landmarks • Piers & Boardwalks,NA,4.0,"tourists,chinese","Address1 Bonham Street Uob Building, Singapore 049782 Singapore",Neighborhood: Raffles Place,NA,NA
Marina Barrage,Marinas • Points of Interest & Landmarks,NA,4.0,"kite flying,water reservoir,singapore skyline,satay,east coast park,mrt station,picnic,bay,rooftop,gallery,bike,bridge,mbs,project,model,path,route,flyer","Address8 Marina Gardens Drive Marina Barrage, Singapore 018951 Singapore",Neighborhood: Central Area/City Area,NA,NA
Peranakan Museum,Speciality Museums,NA,4.5,"interesting history,culture","Address39 Armenian Street Peranakan Museum, Singapore 179941 Singapore",Neighborhood: Museum,NA,NA
Bukit Timah Nature Reserve,Hiking Trails,NA,4.0,"dairy farm,summit,hike,path,steep,hiking,terrain","Address177 Hindhede Drive Bukit Timah Vhf Station, Singapore 589333 Singapore",Neighborhood: Bukit Panjang,NA,NA
ArtScience Museum at Marina Bay Sands,Speciality Museums,from $5.87,4.0,"future world,marina bay sands,interactive exhibits,light show,projection,architecture,mbs,concept","Address10 Bayfront Avenue Marina Bay Sands, Singapore 018956 Singapore",Neighborhood: Marina Bay,1-2 hours,10:00 AM - 7:00 PM
Singapore City Gallery,Speciality Museums,NA,4.5,,"Address45 Maxwell Road The Ura Centre The URA Centre, Level 2, Singapore 069118 Singapore",Neighborhood: Central Business District,1-2 hours,9:00 AM - 5:00 PM
Raffles City,Shopping Malls,NA,4.0,"shopping mall,carlton hotel,great mall,marina square,court,shoppers,heat","Address252 North Bridge Rd, Singapore 179101 Singapore",Neighborhood: City Hall,< 1 hour,10:00 AM - 10:00 PM
Satay Street,Flea & Street Markets,NA,4.0,"satay,vendors",NA,Neighborhood: Cecil,< 1 hour,7:00 PM - 1:00 AM
The Pinnacle @ Duxton,Points of Interest & Landmarks,NA,4.5,,"Address1 Cantonment Road The Pinnacle @ Duxton, Singapore 080001 Singapore",Neighborhood: Central Area/City Area,NA,9:00 AM - 9:30 PM
Lau Pa Sat Festival Pavilion,Historic Sites • Flea & Street Markets,NA,4.0,"satay,stalls","Address18 Raffles Quay Telok Ayer Festival Market, Singapore 048582 Singapore",Neighborhood: Cecil,NA,NA
Little India,Neighborhoods,NA,4.0,"indian food,serangoon road,indian culture,tekka market,shopping mall,deepavali,sarees,souvenirs",NA,Neighborhood: Rochor,2-3 hours,NA
Night Safari,Nature & Wildlife Areas • Zoos,from $47.30,4.0,"tram ride,walking trails,nocturnal animals,unique experience,singapore zoo,zoo experience,their natural habitat,public transport,tiger,tapir,enclosures,9pm,concept,taxis,rainforest","Address80 Mandai Lake Road, Singapore 729826 Singapore",Neighborhood: Central Water Catchment,2-3 hours,NA
Sultan Mosque,Points of Interest & Landmarks • Religious Sites,NA,4.0,"kampong glam,bussorah street,national monument,beautiful building,architecture,worship,culture,landmark,domes","Address3 Muscat Street Masjid Sultan, Singapore 198833 Singapore",Neighborhood: Rochor,NA,"9:30 AM - 12:00 PM, 2:00 PM - 4:00 PM"
The Intan,Speciality Museums,NA,5.0,"peranakan culture,joo chiat,treasure trove,his passion,private collection,personal collection,museum experience,his knowledge,alvin,heritage,bintan,stories,kueh,curator,beads,collectibles,project,shoes,shophouse,embroidered,perspective,clothing,showcase","Address69 Joo Chiat Terrace, Singapore 427231 Singapore",Neighborhood: Geylang East,< 1 hour,7:00 AM - 10:00 PM
Mount Faber,Nature & Wildlife Areas,NA,4.0,"faber point,marang trail,highest point,harbourfront mrt station,telok blangah,cable car station,henderson bridge,nice park,lovely walk,sentosa,cars,greenery,series,platform","Address109 Mount Faber Road Faber Peak Faber Peak, Singapore 099203 Singapore",Neighborhood: Mount Faber Park,NA,NA
Mustafa Centre,Shopping Malls,NA,4.0,"open hours,one stop shop,shopping centre,departmental store","Address145 Syed Alwi Road Mustafa Centre, Singapore 207704 Singapore",Neighborhood: Little India,NA,12:00 PM - 11:59 PM
ION Orchard,Observatories & Planetariums • Shopping Malls,NA,4.0,"food court,high end,huge mall,bakso,louis vuitton,singapore airlines,food stalls,shopping,uniqlo","Address2 Orchard Turn Ion Orchard, Singapore 238801 Singapore",Neighborhood: Boulevard,More than 3 hours,10:00 AM - 10:00 PM
National Library of Singapore,Libraries,NA,4.5,"book lovers,reference library","Address100 Victoria Street National Library Building, Singapore 188064 Singapore",Neighborhood: Central Area/City Area,NA,NA
Katong District,Neighborhoods,NA,4.0,"east coast road,peranakan style,land reclamation,food court,heritage,shophouse,bebe,rumah,joo,chinese,conservation,rocks",NA,Neighborhood: Marine Parade,NA,NA
Takashimaya Singapore,NA,NA,4.0,"mall,shopping,orchard,homewares","Address391 Orchard Road Ngee Ann City Tower a Takashimaya Department Store, Singapore 238873 Singapore",Neighborhood: Boulevard,NA,10:00 AM - 9:30 PM
Parkview Square,Architectural Buildings,NA,4.5,,"Address600 North Bridge Road Parkview Square, Singapore 188778 Singapore",Neighborhood: Central Area/City Area,NA,NA
National Stadium,Arenas & Stadiums,NA,4.0,"ticket entry,concert,powerfully","Address2 Stadium Walk, Singapore 397718 Singapore",Neighborhood: Tanjong Rhu,NA,NA
Kuan Yin Thong Hood Cho Temple,Religious Sites,NA,4.0,,"Address178 Waterloo Street Kwan im Temple, Singapore 187964 Singapore",Neighborhood: Rochor,NA,6:00 AM - 6:00 PM
Singapore River,Bodies of Water,NA,4.5,"clarke quay,fullerton hotel,marina bay sands,boat,sights,stroll,skyscrapers",NA,Neighborhood: Robertson Quay,NA,NA
Kranji War Memorial,Cemeteries,NA,4.5,cemetery,"Address9 Woodlands Road, Singapore 738656 Singapore",Neighborhood: Sungei Kadut,NA,NA
Emerald Hill,Historic Sites • Neighborhoods,NA,4.5,"terrace houses,conservation area,retail shopping,chinese architecture,high rise buildings,peranakan,orchard,shophouse,nutmeg,restoration,plaques,carved,glimpse,wealth,storey",NA,Neighborhood: Boulevard,NA,NA
DFS Singapore Changi Airport,Airport Shops,NA,4.0,"transit hotel,shopping","AddressChangi Airport Terminal 1 (Towards C and D Gates), Singapore 918142 Singapore",Neighborhood: Changi,More than 3 hours,9:00 AM - 5:45 PM
Lee Kong Chian Natural History Museum,Natural History Museums,NA,4.5,"dinosaur bones,plants and animals,time slot,whales,information,nature,visitors,perspective","Address2 Conservatory Drive National University of Singapore, Singapore 117377 Singapore",Neighborhood: National University of Singapore,1-2 hours,10:00 AM - 6:00 PM
Plaza Singapura,Shopping Malls,NA,4.0,"bakso,dhoby ghaut,mall,cineplex,starhub,tenants,bargains","Address68 Orchard Road Plaza Singapura, Singapore 238839 Singapore",Neighborhood: Museum,NA,NA
Sri Veeramakaliamman Temple,Religious Sites,NA,4.0,"worship,pray,deity,tourists,holy","Address141 Serangoon Road, Singapore 218042 Singapore",Neighborhood: Little India,1-2 hours,5:00 AM - 9:00 PM
Singapore Visitor Centre @orchardgateway,Visitor Centers,NA,4.5,,"Address216 Orchard Road Orchard Gateway @ Emerald, Singapore 238898 Singapore",Neighborhood: Emerald Hill,< 1 hour,12:00 PM - 7:00 PM
Faber Peak,Hiking Trails • Scenic Walking Areas,from $18.78,4.0,,"Address109 Mount Faber Road Faber Peak Faber Peak, Singapore 099203 Singapore",Neighborhood: Central Area/City Area,NA,9:00 AM - 10:00 PM
Sunflower Garden,Gardens,NA,4.0,,NA,Neighborhood: Changi,NA,NA
City Square Mall,Shopping Malls,NA,4.0,"little india,f b,air conditioning,decathlon,shop,tuition","Address180 Kitchener Road City Square Mall, Singapore 208539 Singapore",Neighborhood: Lavender,More than 3 hours,10:00 AM - 10:00 PM
Labrador Nature Reserve,Nature & Wildlife Areas,NA,4.0,"keppel bay,machine gun,world war ii,historical relics,trees provide,british colonial,southern ridges,telok blangah hill park,amazing park,kent ridge park,mangroves,battlements,remnants,fishing,cliffs,legacy,wonders,structure,sg","AddressLabrador Villa Road Tanjong Berlayer Park, Singapore 119187 Singapore",Neighborhood: Bukit Merah,NA,NA
Kusu Island,Islands,NA,4.0,"chinese temple,tortoise sanctuary,nice beach,day trip,peaceful place,turtles,picnic,shelter,outing,fishing","AddressKusu Island, Singapore 000704 Singapore",NA,NA,NA
Changi Beach,Historic Sites • Beaches,NA,4.0,"east coast park,pulau ubin,nice beach,sea cucumbers,hawkers centre,nasi lemak,during world war ii,leisurely walk,food centre,food stalls,public transport,fishing,cyclists,massacre,ching,coastline,sook,aviation,path,civilian,benches,strolling,memorial",NA,Neighborhood: Changi,NA,NA
Hort Park,Parks,from $47.01,4.5,"southern ridges,kent ridge,themed gardens,henderson waves,alexandra road,canopy walk,butterfly garden,edible garden,balinese garden,english garden,plants and trees,vivo city,mrt station,vineyard,playground,nature,exploration,squirrels,flora,reservoir,paths,forest,statues","Address33 Hyderabad Road, Singapore 119578 Singapore",Neighborhood: Kent Ridge,1-2 hours,NA
Changi Chapel and Museum,History Museums,NA,4.5,"guided tour,prisoners,war,stories,displays,emotional,imprisoned,mrt","Address1000 Upper Changi Road North, Singapore 507707 Singapore",Neighborhood: Changi West,1-2 hours,9:30 AM - 5:30 PM
Marina Square,Shopping Malls,from $6.16,4.0,"raffles city,marina link","Address6 Raffles Boulevard Marina Square, Singapore 039594 Singapore",Neighborhood: Central Area/City Area,2-3 hours,10:00 AM - 10:00 PM
Esplanade Park,Parks,NA,4.5,,NA,Neighborhood: Marina Bay,NA,NA
Library @ Orchard,Libraries,NA,4.5,browsing,"Address277 Orchard Road Orchard Gateway, Singapore 238858 Singapore",Neighborhood: Somerset,NA,NA
Marina Bay Sands Casino,Casinos,NA,3.5,mbs casino,"Address10 Bayfront Avenue Marina Bay Sands Marina Bay Sands, Singapore 018956 Singapore",Neighborhood: Marina Bay,< 1 hour,NA
Thian Hock Keng Temple,Religious Sites,NA,4.0,"telok ayer street,chinese immigrants,sea goddess,national monument,main altar,chinatown area,hokkien,worship,deities,oldest,gods,passage,dragon,voyage,culture,ornate,donation,pillars,incense,reclaimed,stone,century,cbd,masterpiece,merchants,guarding,figures,land,ships,mrt","Address158 Telok Ayer Street Chinatown, Singapore 068613 Singapore",Neighborhood: Central Area/City Area,NA,7:30 AM - 5:30 PM
Tiger Brewery Tour,Breweries,from $13.73,4.0,,"Address459 Jalan Ahmad Ibrahim, Singapore 639934 Singapore",Neighborhood: Tuas,2-3 hours,NA
Raffles Hotel Arcade,Points of Interest & Landmarks • Shopping Malls,NA,4.0,tiffin room,"Address1 Beach Road Raffles Hotel, Singapore 189673 Singapore",Neighborhood: Central Area/City Area,NA,NA
Lucky Plaza,Flea & Street Markets,NA,3.0,,"Address304 Orchard Road Lucky Plaza, Singapore 238863 Singapore",Neighborhood: Boulevard,NA,8:00 AM - 10:00 PM
Ambassador Transit Lounge,Airport Lounges,NA,3.5,,NA,Neighborhood: Changi,More than 3 hours,7:00 AM - 10:00 PM
Tekka Centre,Shopping Malls,NA,4.0,"wet market,biryani,cheap indian food,food court,fish soup,clothing,stalls,allauddin,shop,culture","Address665 Buffalo Road Zhujiao Centre (Tekka Market) 210665 Singapore, Singapore 210665 Singapore",Neighborhood: Little India,NA,6:30 AM - 9:00 PM
Geylang Serai,Neighborhoods,NA,4.0,stalls,NA,Neighborhood: Geylang East,NA,NA
Sri Mariamman Temple,Religious Sites,NA,4.0,"hindu religion,chinatown","Address244 South Bridge Road Sri Mariamman Temple, Singapore 058793 Singapore",Neighborhood: Outram,< 1 hour,"7:00 AM - 11:30 AM, 6:00 PM - 8:45 PM"
Changi Swimming Pool,Water Parks,NA,4.5,"few hours,singapore airlines,sunscreen",NA,Neighborhood: Changi,NA,6:00 AM - 12:00 AM
Jurong Point Shopping Mall,Shopping Malls,NA,4.0,food outlets,"Address1 Jurong West Central 2 #03-07 Jurong Point, Singapore 648886 Singapore",Neighborhood: Jurong West,NA,10:00 AM - 10:00 PM
Tanjong Pagar,Neighborhoods,NA,4.0,"duxton hill,shophouse,precinct,chinatown",NA,Neighborhood: Outram,NA,NA
Bukit Brown Cemetery,Cemeteries,NA,4.5,"guided tour,resting place,burial practices,an excellent story teller,fauna flora,jungle setting,enriching experience,rich in history,mosquito repellent,early history,story telling,modern singapore,knowledgeable guide,pioneers,tombstones,homes,heritage,stories,chinese,teochew,infrastructures,death,narration,characters,enthusiasts,concept",NA,Neighborhood: Mount Pleasant,NA,12:00 AM - 11:59 PM
IMM Outlet Mall,Shopping Malls,NA,3.5,"kate spade,nike,puma,furla","Address2 Jurong East Street 21 Imm Building, Singapore 609601 Singapore",Neighborhood: Toh Guan,NA,10:00 AM - 10:00 PM
Kong Meng San Phor Kark See Temple,Religious Sites,NA,4.5,,"Address88 Bright Hill Road Kong Meng San Phor Kark See Monastery, Singapore 574117 Singapore",Neighborhood: Bishan,NA,NA
Robertson Quay,Neighborhoods,NA,4.0,singapore river,NA,Neighborhood: Robertson Quay,NA,NA
Indian Heritage Centre,Speciality Museums • Art Museums • Children's Museums • History Museums,from $5.19,4.0,"permanent galleries,little india,storey building,quick overview,free tour,on display,migration,culture,communities,museum,exhibits,settlers,textiles,architecture,artists","Address5 Campbell Lane Indian Heritage Centre, Singapore 209924 Singapore",Neighborhood: Rochor,1-2 hours,NA
Joo Chiat/Katong,Neighborhoods,NA,4.0,"pre war,popiah,world war ii,peranakan culture,heritage,shophouse,enclave,architecture,plaques,rows,ornate,conservation",NA,Neighborhood: Marine Parade,NA,NA
Holland Village,Neighborhoods,NA,4.0,"chip bee,cold storage supermarket","AddressHolland Avenue Lorong Liput, Lorong Mambong,, Singapore 278967 Singapore",Neighborhood: Holland Drive,More than 3 hours,10:00 AM - 12:00 PM
