"Name","Cuisine","Hours","Price","Good.For","Location","Address","Postal.Code","Lat","Long"
"6ix 6ix 六六","Bar, Chinese, Seafood, Vegetarian Friendly, BBQ","Mon-Sun: 11am-4am","$$$","Al Fresco, Business Meetings, Casual Dining, Drinks, Private Functions","Orchard","23 Cuppage RoadSingapore (229453)","229453","1.30193459271821","103.840217694269"
"6ixty 7even Restaurant & Bar","Modern European, Fusion","Mon-Sat: 3-10:30pmClosed Sunday","$$$$","Business Meetings, Fine Dining, Casual Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates","Tanjong Pagar","67 Neil RoadSingapore (088898) ","088898","1.27929387507147","103.842357127969"
"7th Heaven KTV & Cafe","Bar, Fusion, Cafe","Tue-Sat: 11am-11pm Sun: 10am-10pm Closed Monday","$$","Casual Dining, Drinks, Private Functions, Large Parties (16+)","Tampines","1/A Tampines Street 92#03-02SAFRA TampinesSingapore (528882) ","528882","1.34470946550556","103.941746452841"
"8 Korean BBQ (Shaw Centre)","Korean, BBQ","Mon-Fri: 11:30am-2:30pm, 5:30-10:30pmSat-Sun: 1130am-10:30pm","$$","Casual Dining, Kid Friendly, Drinks, Large Parties (16+)","Orchard","1 Scotts Road#04-20/21Shaw CentreSingapore (228208) ","228208","1.30611334628277","103.83197058154"
"8 Korean BBQ (The Central)","Korean, BBQ","Mon-Sun: 11:30am-2:30pm, 5:30-10:30pm","$$$","Casual Dining, Drinks, Private Functions","Clarke Quay","6 Eu Tong Sen Street#02-79/90The CentralSingapore (059817) ","059817","1.2888737988701","103.846797382693"
"9th ave.","Fusion, Cafe","Mon-Fri: 8am-4:30pmClosed Saturday, Sunday & PH","$$","Casual Dining","Woodlands","43 Woodlands Avenue 9SIT@RPSingapore (737729) ","737729","1.44427220470164","103.783638071171"
"Aburi-EN (Causeway Point)","Japanese","Mon-Sun: 11am-10pm","$$","Casual Dining, Drinks","Woodlands","1 Woodlands Square#02-09BCauseway PointSingapore (738099) ","738099","1.43592702612215","103.786047454862"
"Aburi-EN (Changi City Point)","Japanese","Mon-Sun: 11am-10pm","$$","Business Meetings, Casual Dining, Kid Friendly, Drinks","Changi","5 Changi Business Park Central 1#01-36 Changi City PointSingapore (486038) ","486038","1.33408359331373","103.962946083391"
"Aburi-EN (Jem)","Japanese","Mon-Sun: 11am-10pm","$$","Casual Dining, Drinks","Jurong","50 Jurong Gateway Road#01-04JemSingapore (608549) ","608549","1.3325523295069","103.743262234833"
"Aburi-EN (JEWEL Changi Airport)","Japanese","Mon-Sun: 11am-10pm","$$","Business Meetings, Casual Dining, Kid Friendly","Changi","78 Airport Boulevard #B2-233 JEWEL Changi Airport Singapore (819666) ","819666","1.35993782064432","103.990002942162"
"Aburi-EN (Nex)","Japanese","Mon-Sun: 11am-10pm","$$","Casual Dining, Drinks","Serangoon","23 Serangoon Central#01-63/64/65NEXSingapore (556083) ","556083","1.35088882151724","103.87211567247"
"Aburi-EN (Novena)","Japanese","Mon-Sun: 11am-10pm","$$","Casual Dining, Drinks","Novena","238 Thomson Road#01-89Novena SquareSingapore (307683)","307683","1.32045851808392","103.843840430508"
"Aburi-EN (NTP)","Japanese","Mon-Sun: 11am-10pm","$$","Casual Dining, Kid Friendly","Yishun","930 Yishun Ave 2#01-47Northpoint CitySingapore (769098) ","769098","1.42964377363773","103.835803487655"
"Aburi-EN (Orchard Central)","Japanese","Mon-Sun: 11am-10pm","$$","Casual Dining, Drinks","Orchard","181 Orchard Road#01-16Orchard CentralSingapore (238896) ","238896","1.30083890839245","103.839434733899"
"Aburi-EN (Scotts)","Japanese","Mon-Sun: 11am-10pm","$$","Casual Dining, Drinks","Orchard","350 Orchard Road Shaw House#01-K1Isetan ScottsSingapore (238868) ","238868","1.30580981580562","103.831507365654"
"Aburi-EN (Suntec City)","Japanese","Mon-Sun: 11am-10pm","$$","Casual Dining, Drinks","Promenade","3 Temasek Boulevard#B1-121Suntec City MallSingapore (038983)","038983","1.29432416524256","103.860371993025"
"Aburi-EN (Tanjong Pagar)","Japanese","Mon-Sun: 11am-10pm","$$","Casual Dining, Drinks","Tanjong Pagar","1 Wallich Street#B2-09Guoco TowerSingapore (078884) ","078884","1.27672492702287","103.845155395387"
"Aburi-EN (Vivo City)","Japanese","Mon-Sun: 11am-10pm","$$","Casual Dining, Drinks","Harbourfront","1 Habourfront Walk#01-159/160VivocitySingapore (098585) ","098585","1.26427054261311","103.822476140813"
"Aburiya (Boat Quay)","Bar, Japanese, Burgers, BBQ","Mon-Sun: 6-10pm","$$$$","Casual Dining, Kid Friendly, Romantic Dates","Boat Quay","79 Boat QuaySingapore (049867) ","049867","1.28834088120836","103.849164389373"
"abV@Southbridge","American, Bar, Modern European, International, Steakhouse, Cafe, Burgers","Mon-Sun: 11am-10:30pm","$$$","Al Fresco, Business Meetings, City Views, Casual Dining, Drinks","Chinatown","210 South Bridge RoadThe Southbridge HotelSingapore (058759) ","058759","1.2833972658063","103.845702273218"
"Acid Bar","American, Bar, Burgers, Modern Asian","Mon-Sun: 3-10:30pm","$$","Al Fresco, Business Meetings, Casual Dining, Drinks, Private Functions","Orchard","180 Orchard RoadSingapore (238846) ","238846","1.30148487514509","103.839139972614"
"Acoustics Coffee Bar","All-Day Breakfast, Cafe","Sun-Thu: 8:30am-5:30pmFri-Sat: 8:30am-9:30pm","$$","Al Fresco, Casual Dining, Drinks, Pet Friendly","Chinatown, Outram","61 Neil RoadSingapore (088895) ","088895","1.27939924167712","103.842457042503"
"Acqua e Farina","Italian, Vegetarian Friendly","Sun-Thu & PH: 11:30am-2:30pm, 5:45-10pmFri-Sat: 11:30am-2:30pm, 5:45-10:15pmClosed Monday","$$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Private Functions","Bukit Timah","400 Upper Bukit Timah RoadSingapore (678050) ","678050","1.35813136149796","103.767849779267"
"ADDA","Bar, Indian, Fusion","Mon-Sun: 12-3pm, 6-10:30pm","$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Romantic Dates","Bugis","7500E Beach Road#01-201Diners Club BuildingSingapore (199595) ","199595",NA,NA
"Aether House","French","Mon-Sat: 11am-10:30pmClosed Sunday & PH","$$$$","Business Meetings, Casual Dining, Drinks, Private Functions, Romantic Dates","Telok Ayer","35 Robinson Road#01-05/06/07SO SofitelSingapore (068876) ","068876","1.27992197150836","103.849654790724"
"Afterglow","Vegetarian","Mon-Sat: 12-10pmClosed Sunday","$$$","Al Fresco, Casual Dining, Drinks, Private Functions, Quiet Dinner","Chinatown, Keong Saik","24 Keong Saik RoadSingapore (089131) ","089131","1.28008872721847","103.84167635477"
"Ah Hoi's Kitchen","Chinese, Seafood, Local, Zi Char","Fri-Sun: 6-10:30pmMon-Thu: Closed28 Jan to 15 Feb 2022 (Excluding 8-10 Feb): 6-10:30pm","$$","Al Fresco, Casual Dining, Kid Friendly","Orchard, Tanglin","1A Cuscaden RoadLevel 4Hotel Jen Tanglin SingaporeSingapore (249716) ","249716","1.30427053823352","103.823912359581"
"Akira Back (JW Marriott Singapore South Beach)","Japanese, Korean, Vegetarian Friendly","Sun-Thu: 12-2:30pm, 6-10pmFri-Sat: 12-2:30pm, 6-10:30pm","$$$$","Business Meetings, Casual Dining, Drinks, Romantic Dates","City Hall, Bugis, Marina Central","30 Beach RoadLevel B1MJW Marriott Hotel Singapore South BeachSingapore (189763) ","189763","1.29468701742485","103.855528738059"
"Al Borgo @ Alocassia Apartments","Italian, Seafood, Steakhouse, Vegetarian Friendly","Mon: 11:30am-2pm, 5:30-9:30pmWed-Sun: 11:30am-2pm, 5:30-9:30pmClosed Tuesday","$$$","Casual Dining, Kid Friendly, Drinks, Quiet Dinner","Bukit Timah","383 Bukit Timah Road#01-02Alocassia ApartmentsSingapore (259727) ","259727","1.31943645952176","103.827347301883"
"Al Forno (East Coast) Italian Restaurant","Italian, Vegetarian Friendly","Mon-Fri: 12-2pm, 6.30-10pmSat-Sun: 12-2pm, 5.30-10pm","$$$","Al Fresco, Casual Dining, Kid Friendly, Drinks, Private Functions, Large Parties (16+)","East Coast","400 East Coast RoadLe Peranakan HotelSingapore (428996) ","428996","1.30872020865679","103.912043488378"
"Al Forno Tapas & Wine Bar","Bar, Italian, All-Day Breakfast, Vegetarian Friendly","Mon-Thu: 5-10:30pmFri-Sat: 3-10:30pmSun: 12-10pm","$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Pet Friendly, Private Functions, Large Parties (16+)","East Coast","693A East Coast RoadSingapore (459058) ","459058","1.31190105580921","103.921875613238"
"Alati Divine Greek Cuisine","Seafood, Greek, Vegetarian Friendly","Mon-Fri: 12-2:30pm (Last Order: 1:45pm), 5:30pm-11pm (Last Order: 9:45pm)Sat: 5:30pm-11pm (Last Order: 9:45pm)Closed Sunday","$$$","Business Meetings, Casual Dining, Private Functions","Tanjong Pagar, Telok Ayer","73 Amoy StreetSingapore (069892) ","069892","1.28033038618626","103.846574136526"
"AlcoVault Bistro & Whisky Bar","Bar, Fusion, Steakhouse, Modern Asian","Mon-Sat: 3-11pmClosed Sunday","$$$","Al Fresco, Business Meetings, Casual Dining, Drinks, Private Functions, Romantic Dates","Clarke Quay","18 Carpenter StreetSingapore (059907) ","059907","1.28839839373324","103.847769590762"
"Alegria","American, Bar, Fusion, South American, Mexican, Modern Asian","Tue-Thu: 3-10:30pmFri-Sun: 12-10:30pmClosed Monday","$$$","Al Fresco, Business Meetings, Casual Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates","Outram","18 Teck Lim Road#01-01 Singapore (088390) ","088390","1.28051428275115","103.841913115015"
"Alley Bar","Bar, Modern European, Fusion, Local","Mon-Sun: 3-10:30pm","$$","Casual Dining, Drinks","Orchard","2 Emerald Hill RoadPeranakan PlaceSingapore (229287) ","229287","1.30156389301026","103.839294299013"
"Alley on 25","Buffet, Seafood, Vegetarian Friendly, Burgers, Modern Asian","Mon-Sun: 12-2:30, 3-5pm, 6-10:30pm","$$$$","Casual Dining, Kid Friendly, Drinks, Quiet Dinner","Bugis","5 Fraser StreetLevel 25Andaz SingaporeSingapore (189354) ","189354","1.29915739776463","103.858020324447"
"Alma By Juan Amador","Modern European","Mon: 6-9:30pm (Last Reservation: 7:30pm)Tue-Sat: 12-2:30pm (Last Reservation: 1:30pm), 6-9:30pm (Last Reservation: 7:30pm)Closed Sunday","$$$$","Al Fresco, Business Meetings, Casual Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates, Large Parties (16+)","Orchard","22 Scotts RoadGoodwood Park HotelSingapore (228221) ","228221","1.30771173944605","103.834556167895"
"Almost Famous Craft Beer Bar","Bar, Fusion, Vegetarian Friendly","Mon-Fri: 5-10.30pmSat-Sun: 12-10.30pm","$$","Casual Dining, Drinks","City Hall, CHIJMES","30 Victoria StreetSingapore (187996) ","187996","1.29479670956332","103.852573366033"
"Alter Ego","American, Bar, Fusion, Cafe","Mon-Fri: 12-11pmSat-Sun: 11am-11pm","$$","Al Fresco, Business Meetings, City Views, Casual Dining, Kid Friendly, Drinks, Private Functions, Romantic Dates","City Hall, Marina Bay, Promenade, Esplanade, Marina Central","8 Raffles Avenue#01-13DEsplanade MallSingapore (039802) ","039802","1.28966932376699","103.855952707685"
"Amano","Italian","Tue-Sun: 12-10pmClosed Monday","$$$","Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Romantic Dates","Bukit Timah","76 Namly PlaceSingapore (267226) ","267226","1.32432228997049","103.796723947087"
"Amazing Hokkaido","Bar, Japanese","Mon-Sun: 5:30-11pm","$$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Pet Friendly, Large Parties (16+)","Robertson Quay","30 Robertson Quay#01-16Singapore (238251) ","238251","1.29123960983988","103.841280608041"
"Amber West","International","Mon: 12-2pmTue-Fri: 12-2pm, 6-8pmClosed Saturday & Sunday","$$","Casual Dining, Quiet Dinner","Choa Chu Kang","1 Choa Chu Kang GroveSingapore (688236) ","688236","1.37527500765096","103.752407481466"
"Ambling Turtle","All-Day Breakfast, Local, Southeast Asian, Cafe, Dessert Only","Sun-Thu: 9am-6pmFri-Sat: 9am-10pm","$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Pet Friendly","East Coast","66 East Coast Road#01-01The FlowSingapore (428778) ","428778","1.30457354662016","103.904203116447"
"Ambush-Pan European Dining (Junction 8)","Modern European, French, Italian, Spanish, Seafood, German, Cafe","Mon-Sun: 11am-10pm","$$","Business Meetings, Casual Dining, Kid Friendly","Bishan","9 Bishan Place#02-19/20/27Junction 8 Shopping CentreSingapore (579837) ","579837","1.35012457632394","103.848487134435"
"Ameising Bar & Dining","Bar, Japanese","Mon-Fri: 11:30am-2pm, 4:30-10:30pmSat: 12-10pmClosed Sunday & PH","$$","Al Fresco, Business Meetings, City Views, Casual Dining, Drinks, Pet Friendly, Private Functions, Quiet Dinner, Romantic Dates","Raffles Place","16 Raffles Quay#01-02AHong Leong BuildingSingapore (048581) ","048581","1.28136359915756","103.850914468583"
"Amò","Bar, Italian, Vegetarian Friendly","Mon-Sun: 12-2:30pm (Last Order: 2pm), 6-10:30pm (Last Order: 9:30pm)","$$$","Al Fresco, Business Meetings, Casual Dining, Drinks, Private Functions, Romantic Dates","Clarke Quay","33 Hongkong StreetSingapore (059672) ","059672","1.28743955874319","103.847130213549"
"Anglo Indian Cafe & Bar (Chijmes)","Indian","Mon-Sun: 12-11pm","$$","Casual Dining, Drinks","City Hall, CHIJMES","30 Victoria Street#01-13ChijmesSingapore (187996) ","187996","1.29479670956332","103.852573366033"
"Anglo Indian Cafe & Bar (Marina One)","Indian","Mon-Fri: 11am-10pmClosed Saturday, Sunday & PH","$$","Casual Dining, Drinks","Marina Bay","5 Straits View#01-10Marina OneSingapore (018935) ","018935","1.27737235072298","103.852844801266"
"Anglo Indian Cafe & Bar (Shenton Way)","Indian","Mon-Sun: 11am-10pm","$$","Casual Dining, Drinks","Marina Bay","1 Shenton Way#01-08Singapore (068803) ","068803","1.27929478959373","103.850552555075"
"ANJU","Korean","Tue-Sat: 6-10:30pmClosed Monday and Sunday","$$$","Business Meetings, Drinks, Quiet Dinner, Romantic Dates","Tanjong Pagar","62 Tras StreetSingapore (079001) ","079001","1.27782371433632","103.844122818044"
"Anouska's Restaurant and Bar","Chinese","Mon-Sun: 12-2:30pm, 5-10:30pm","$$$","Drinks, Romantic Dates","Tanjong Pagar","83 Duxton RoadSingapore (089540) ","089540","1.27887034677386","103.843187857264"
"Anti:dote","Bar, Modern European, British, Vegetarian Friendly, Cafe, Vegetarian, Dessert Only","Mon-Sun: 12-11pm","$$","Business Meetings, Casual Dining, Drinks, Private Functions, Romantic Dates","City Hall","80 Bras Basah RoadLevel 1Fairmont SingaporeSingapore (189560) ","189560","1.29401984307381","103.853985655061"
"Apollo Coffee Bar","Fusion, All-Day Breakfast, Cafe",NA,"$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions","Serangoon","65 Serangoon Garden WaySingapore (555961) ","555961","1.36346871778602","103.865419193862"
"Aqua Luna","Bar",NA,"$$","Al Fresco, Drinks, Romantic Dates","Queenstown","323 Alexandra RoadLevel 7Park Hotel AlexandraSingapore (159972) ","159972","1.28745612377699","103.805414652014"
"Arbenz @ Swiss Club","Modern European, Fusion","Wed-Sun: 11:30am-3pm (Last Order: 2:15pm), 6-11pm (Last Order: 9:30pm)Closed Monday and Tuesday","$$$$","Al Fresco, Business Meetings, Fine Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates","Bukit Timah","36 Swiss Club RoadSingapore (288139) ","288139","1.34323098690167","103.791573590849"
"Arbora","Fusion","Mon-Fri: 11am-3pm (Last Order: 2:30pm), 4-6pm (Last Order: 5:30pm), 6-10:30pm (Last Order: 9:30pm)Sat-Sun & PH: 8:30-11:30am (Last Order: 10:30am), 11:30am-5pm (Last Order: 4:30pm), 6-10:30pm (Last Order: 9:30pm)","$$$","Al Fresco, Casual Dining, Drinks, Romantic Dates, Large Parties (16+)","Harbourfront","109 Mount Faber RoadFaber Peak SingaporeSingapore (099203) ","099203","1.27109117295922","103.81976836625"
"Arkadas Cafe","Middle Eastern","Mon-Sun: 11am-10pm","$$","Business Meetings, Drinks","Buona Vista","1 Fusionopolis View#01-02Sandcrawler BuildingSingapore (138577) ","138577","1.29994179707526","103.789404349716"
"Aromas of India","Indian, Fusion, Middle Eastern, Vegetarian Friendly","Mon-Sun: 11am-11pm","$$","Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Large Parties (16+)","Little India","60 Race Course RoadSingapore (218567) ","218567","1.30845104495699","103.851155021653"
"Art","Italian",NA,"$$$","Business Meetings, City Views, Fine Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates, Large Parties (16+)","City Hall","1 St Andrew’s Road#06-02National GallerySingapore (178957) ","178957","1.29065533812994","103.851708013559"
"Ashino","Japanese","Tue-Sun: 12-2pm, 6-10pmClosed Monday","$$$$$","Fine Dining, Private Functions","City Hall, CHIJMES","30 Victoria Street#01-23CHIJMESSingapore (187996) ","187996","1.29479670956332","103.852573366033"
"Asian Market Cafe","Buffet, Malaysian, Fusion, International, Seafood, Vegetarian Friendly, Local, Southeast Asian, Halal Certified","1 Jan to 2 AprMon, Thu-Fri: 12-2:30pm, 6-10pmSat & Sun: 12-4pm, 6-10pmClosed Tuesday and Wednesday3 April to 2 MayThu-Fri: 6-10pmSat-Sun: 12-4pm, 6-10pmClosed Monday to Wednesday","$$$","Casual Dining, Kid Friendly","City Hall","80 Bras Basah RoadLevel 2Fairmont SingaporeSingapore (189560) ","189560","1.29401984307381","103.853985655061"
"Astor Bar at The St. Regis Singapore","American, Bar, International","Wed-Sun: 3-10:30pmClosed Monday & Tuesday","$$$","Business Meetings, Casual Dining, Drinks, Private Functions, Romantic Dates","Tanglin","29 Tanglin RoadLevel 1The St. Regis SingaporeSingapore (247911) ","247911","1.30566141166044","103.826053512399"
"Atico Lounge","Bar","Mon-Sun: 12-5pm (Lunch Last Order: 2:30pm, High Tea Last Order: 4:30pm), 6-10pm (Lounge)","$$$","Business Meetings, City Views, Drinks, Romantic Dates","Orchard","2 Orchard TurnION OrchardLevel 56Singapore (238801) ","238801","1.30473094842364","103.831465536872"
"Atlas Coffeehouse","Fusion, All-Day Breakfast, Vegetarian Friendly, Cafe","Tue-Sun: 8am-7pmClosed Monday","$$","Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions","Bukit Timah","6 Duke's RoadSingapore (268886) ","268886","1.32289788330663","103.811997861957"
"Atrium Bar 317","American, Bar, Local","Mon-Sun: 9am-11pm","$$","Al Fresco, Business Meetings, Casual Dining, Drinks, Quiet Dinner, Romantic Dates, Large Parties (16+)","Outram","317 Outram RoadSingapore (169075) ","169075","1.28888605616528","103.834206802698"
"Atrium Lounge","American, Local, Dessert Only","Mon-Sun: 11am-10pm","$$$","Business Meetings, Casual Dining, Drinks, Quiet Dinner","Marina Bay","7 Raffles BoulevardPan Pacific HotelSingapore (039595) ","039595","1.29111729179215","103.857758268089"
"Atrium Restaurant","Buffet, Chinese, Japanese, Indian, Fusion, International, Seafood, All-Day Breakfast, Vegetarian Friendly, Local, Peranakan, Halal Certified, Cafe, Burgers, Modern Asian","Mon-Sun: 12-9:30pm","$$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions","Tiong Bahru, Outram","317 Outram RoadLevel 4Holiday Inn Singapore AtriumSingapore (169075) ","169075","1.28888605616528","103.834206802698"
"Avenue 87","Bar, Modern Asian","Mon-Sat: 11:30am-2:30pm, 6-10pmClosed Sunday and PH","$$$","Fine Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates","Telok Ayer","47 Amoy StreetSingapore (069873) ","069873","1.28035604432096","103.846929733883"
"Awadh","Indian","Mon-Sun: 11:30-1:30am","$$","Business Meetings, Casual Dining, Kid Friendly","Orchard","176 Orchard Road#01-33HThe CentrepointSingapore (238843) ","238843","1.30151446722773","103.840054426935"
"Awfully Chocolate (Greenwich V)","Cafe","Mon-Sun: 10am-10pm","$$","Casual Dining, Drinks, Private Functions","Yio Chu Kang, Ang Mo Kio","1 Seletar Road#02-02Greenwich VSingapore (807011) ","807011","1.38739538356829","103.869135979261"
"Awfully Chocolate Bakery & Cafe","Bar, All-Day Breakfast, Cafe",NA,"$$","Casual Dining, Kid Friendly, Private Functions, Quiet Dinner","East Coast","131 East Coast RoadSingapore (428816) ","428816","1.30613769904974","103.904889462032"
"Azmaya","Buffet, Japanese",NA,"$$$","Casual Dining, Drinks, Pet Friendly, Large Parties (16+)","Robertson Quay","30 Robertson Quay#01-12Singapore (238251) ","238251","1.29123960983988","103.841280608041"
"Azmaya Honten (Cuppage Plaza)","Buffet, Japanese, Steamboat",NA,"$$$","Casual Dining, Kid Friendly, Drinks, Private Functions, Large Parties (16+)","Orchard","5 Koek Road #03-24 Cuppage Plaza Singapore (228796) ","228796","1.30199868252287","103.84073976691"
"Baba Chews Bar and Eatery","Modern Asian","Mon-Thu: 11:30am-9:30pmFri: 11:30am-10pmSat-Sun: 11am-10pm","$$","Business Meetings, Casual Dining, Drinks","East Coast","86 East Coast RoadKatong SquareSingapore (428788) ","428788","1.3051475444886","103.904358869276"
"Baci Baci","Italian","Mon-Sun: 12-2pm, 6-10pm","$$$","Al Fresco, Business Meetings, Private Functions","Serangoon","27 Lichfield RoadSingapore (556847) ","556847","1.36494072936387","103.870164959681"
"BAFO","Japanese, Fusion, Seafood, Local","Mon-Fri: 11:30am-3pm (Last Order 2:30pm), 5:30-10:30pm (Last Order 10pm)Closed Saturday & Sunday","$$","Casual Dining, Drinks, Private Functions","Tanjong Pagar","10 Anson Road#01-03International PlazaSingapore (079903) ","079903","1.27581359844209","103.84598361373"
"Bailamos Bistro Bar & Cafe","American, Bar, Fusion, Seafood, Vegetarian Friendly, Burgers, Vegetarian","Mon-Sun: 11am-10.30pm","$$","Business Meetings, Casual Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates","Jalan Besar","22 Sam Leong Road Singapore (207913) ","207913","1.30951817757725","103.85694628733"
"Bali Thai (Causeway Point)","Indonesian, Thai, Fusion, Halal Certified",NA,"$$","Casual Dining","Woodlands","1 Woodlands Square#05-05Causeway PointSingapore (738099) ","738099","1.43592702612215","103.786047454862"
"Bali Thai (IMM)","Indonesian, Thai, Fusion, Halal Certified","Mon-Sun: 11:30am-10pm (Last Order: 9:30pm)","$$","Casual Dining","Jurong","2 Jurong East Street 21#01-21IMMSingapore (609601) ","609601","1.33491758755437","103.746877132868"
"Bali Thai (NEX)","Indonesian, Thai, Fusion, Halal Certified",NA,"$$","Casual Dining","Serangoon","23 Serangoon Central#02-13NEXSingapore (556083) ","556083","1.35088882151724","103.87211567247"
"Bali Thai (Ngee Ann City)","Indonesian, Thai, Fusion, Halal Certified",NA,"$$","Casual Dining","Orchard","391A Orchard Road#05-29 Ngee Ann City Podium BlockSingapore (238873) ","238873","1.30242417189411","103.834676124723"
"Bali Thai (Suntec City)","Indonesian, Thai, Fusion, Halal Certified",NA,"$$","Casual Dining","City Hall, Promenade","3 Temasek Boulevard#B1-121A/121BSuntec CitySingapore (038983)","038983","1.29432416524256","103.860371993025"
