Name,Long,Lat,Opening_Hour,Address,Description,Link,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Price,Duration (hr),Indoor/outdoors,Special Notes,region
Gardens by the Bay,103.863613,1.281568,"Outdoors Gardens: 5am - 2am,Conservatories: 9am - 9pm,OCBC Skyway: 9am - 9pm",18 Marina Gardens Drive,"The lush and beautiful Gardens by the Bay is dominated by the sleekly sculptured biodomes - marvels of architecture, design and engineering.",http://www.gardensbythebay.com.sg,not crowded,not crowded,not crowded,not crowded,crowded,crowded,crowded,$$,3,Indoors,NA,south
The Interlace,103.80305,1.28199,NA,180-226 Depot Road,There's more than meets the eye in The Interlace's artful arrangement of residential blocks.,http://www.theinterlace.com,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,1,Outdoors,NA,south
PARKROYAL on Pickering,103.846522,1.285563,NA,3 Upper Pickering Street,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.,http://www.parkroyalhotels.com/en/hotels-resorts/singapore/pickering.html,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,1,Outdoors,NA,south
Lasalle College of the Arts,103.8516,1.3029,"Administration Office, Monday to Friday, 9am to 6pm. Visitors can still walk around the campus after office opening",1 McNally Street,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.,https://www.lasalle.edu.sg,not crowded,not crowded,not crowded,not crowded,crowded,crowded,crowded,$,1,Outdoors,NA,south
Old Supreme Court Singapore,103.85128,1.2897,Expected to open in 2015,1 St Andrew's Road,"From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore.",http://app.supremecourt.gov.sg/,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,$,2,Indoors,NA,south
SIT Flats Singapore,103.8336,1.28351,NA,Seng Poh Road and Tiong Bahru Road,Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru.,NA,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,2,Indoors,NA,south
Lau Pa Sat Singapore,103.85044,1.28072,"Daily, 24",18 Raffles Quay,"The grande dame of markets in Singapore, Lau Pa Sat blends history, striking architecture and scrumptious local food into one heady experience.",http://www.laupasat.biz,not crowded,not crowded,not crowded,not crowded,max,max,max,$$$,1.5,Outdoors,NA,south
"Malay Heritage Centre, Singapore",103.85986,1.30309,"Malay Heritage Centre Museum, Tuesday to Sunday, 10am - 6pm, Closed on Monday, Malay Heritage Centre Compound, Tuesday to Sunday, 8am - 8pm, Friday and Saturday, 8am - 10pm, Closed on Monday",85 Sultan Gate,The Malay Heritage Centre is a must-visit if you're keen on learning about the rich heritage and culture of Singapore's Malay community.,http://www.malayheritage.org.sg,closed,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$$,1,Outdoors,NA,south
Peranakan Museum Singapore: History & Culture,103.8492,1.29421,"Saturday to Thursday, 10am - 7pm, Friday, 10am - 9pm",39 Armenian Street,"Get to know Singapore's vibrant Peranakan community and history at this top-notch museum, filled with fine artefacts and fun exhibits.",http://peranakanmuseum.org.sg/,closed,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$,1,Outdoors,NA,south
Raffles Singapore,103.85404,1.29579,"Daily, 24",1 Beach Road,"Hark back to a golden age of elegant refinement and gracious living at Raffles Singapore, where the past reawakens to glorious life.",http://www.raffleshotel.com,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,1,Outdoors,NA,south
Gillman Barracks YourSingapore,103.80459,1.2784,"Tuesday to Saturday, 11am - 7pm, Sunday, 11am - 6pm , Galleries closed on Monday and public holidays.",9 Lock Road,A former British military camp is now Asia's new Destination for Contemporary Art.,https://www.gillmanbarracks.com/,closed,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,1.5,Indoors,NA,south
National Museum of Singapore,103.84883,1.29689,"Singapore History Gallery Daily, 10am - 6pm,Last admission at 5.30pm.Singapore Living Galleries Daily, 10am - 8pm Free admission from 6pm -8pm , Last admission at 7.30pm",93 Stamford Road,Singapore's oldest museum is a progressive showcase of the country's history and culture.,http://nationalmuseum.sg/,not crowded,not crowded,not crowded,not crowded,some crowd,crowded,crowded,$$$,3,Indoors,NA,south
The Japanese Cemetery Park,103.87584,1.36431,Daily,825B Chuan Hoe Avenue,"Located in Hougang, this is the largest Japanese cemetery in Southeast Asia and the burial ground of Singapore's early Japanese community.",NA,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,1,Outdoors,NA,central
"Dalhousie Obelisk, a Singapore Landmark",103.85238,1.28704,Daily,1 Empress Place,Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.,NA,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,0.5,Outdoors,NA,south
Raffles Statue Sir Stamford Raffles Landing Site,103.850845,1.287766,Daily,"Raffles Landing Site , 59 Boat Quay","The sculpture depicts Sir Stamford Raffles, founder of modern Singapore. Two statues exist, at the Raffles Landing Site and Empress Place.",NA,not crowded,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,$,0.5,Outdoors,NA,south
Singapore Philatelic Museum,103.8487,1.29294,"Monday, 1pm - 7pm,Tuesday to Sunday, 9.30am - 7pm",23-B Coleman Street,The Singapore Philatelic Museum offers windows into Singapore and the world through stamps.,http://spm.org.sg,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$,1,Indoors,NA,south
Lim Bo Seng Memorial,103.853027,1.288483,Daily,"Esplanade Park, Connaught Drive",This gazetted national monument at Esplanade Park commemorates one of Singapore's heroes from World War II.,http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$,0.5,Outdoors,NA,south
Kranji War Memorial Landmark in Singapore,103.75749,1.41903,"Daily, 8am - 6.30pm",9 Woodlands Road,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.,http://bit.ly/19MZ0SB,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$,1,Indoors,NA,north
Indian National Army (INA) Monument in Singapore,103.854217,1.289954,Daily,Esplanade Park,This marker at Esplanade Park was one of the eleven World War II markers erected in 1995 to commemorate the 50th anniversary of the end of World War II.,http://www.nhb.gov.sg/places/historic-sites/indian-national-army-memorial,not crowded,not crowded,not crowded,not crowded,not crowded,some crowd,not crowded,$,0.5,Outdoors,NA,south
Reflections at Bukit Chandu: Singapore War Memorial,103.79433,1.27954,"Tuesday to Sunday, 9am - 5.30pm,Closed on Monday (except on public holidays)",31-K Pepys Road,"This heritage centre relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.",http://www.nhb.gov.sg/museums/reflections-at-bukit-chandu,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$,1,Indoors,NA,south
The Cenotaph - a Singapore War Memorial Landmark,103.853838,1.290348,Daily,"Esplanade Park, Connaught Drive",This war memorial in Esplanade Park honours the heroes who fought and died during World War I and World War II.,http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,0.5,Outdoors,NA,south
The Civilian War Memorial park in Singapore,103.854618,1.293123,Daily,Bras Basah Road & Beach Road intersection,"Situated at the War Memorial Park in Beach Road, this memorial commemorates civilian victims of the Japanese Occupation in Singapore.",http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/civilian-war-memorial,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$,1.5,Outdoors,NA,south
Sri Veeramakaliamman Temple: Hindu Temple in Singapore,103.85258,1.30779,"Daily, 5.30am - 9.30pm",141 Serangoon Road,"Sri Veeramakaliamman Temple is one of Singapore's oldest Hindu temples, in the heart of Little India.",http://www.sriveeramakaliamman.com/,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,1,Indoors,NA,south
Maghain Aboth Synagogue,103.85081,1.29821,"Visits are available only by appointment. For more information, email jewishwb@singnet.com.sg or call +65 6337 2189 (ext. 103)",24/26 Waterloo Street,"The Maghain Aboth Synagogue is a gem in more ways than one, providing both a snapshot of history and a glimpse into a rich culture.",http://www.singaporejews.com,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,1.5,Indoors,NA,south
Sultan Mosque (Masjid Sultan) Singapore,103.859171,1.302379,"Monday to Sunday:9.30am - 12pm and 2pm - 4pm ,Friday:2.30pm - 4pm",3 Muscat Street,"Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singaporeâ€™s Muslim community.",http://www.sultanmosque.org.sg,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$,1.5,Indoors,NA,south
Sri Mariamman Temple: Hindu Temple in Singapore,103.84538,1.28243,"Daily from 7am - 12pm, and 6pm - 9pm",244 South Bridge Road,"Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.",http://heb.gov.sg/our-subsidiaries/temples/sri-mariamman-temple.aspx,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$,1.5,Indoors,NA,south
Armenian Church in Singapore,103.84966,1.29293,"Daily, 9am -6pm",60 Hill Street,The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century.,http://www.armeniansinasia.org/,not crowded,not crowded,not crowded,not crowded,not crowded,crowded,some crowd,$,1.5,Indoors,NA,south
CHIJMES Singapore,103.85168,1.29526,"Daily, 24  ,Opening   of businesses in CHIJMES may vary.",30 Victoria Street,"Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility.",http://chijmes.com.sg/,not crowded,not crowded,not crowded,not crowded,crowded,some crowd,some crowd,$,1.5,Indoors,NA,south
St Andrew's Cathedral- Singapore Architecture Landmark,103.85231,1.29249,"Monday to Saturday, 9am - 5pm",11 St Andrew's Road,Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage.,http://www.livingstreams.org.sg/sac/visitors.html,closed,not crowded,not crowded,not crowded,not crowded,some crowd,crowded,$,0.5,Indoors,NA,south
ArtScience Museum Singapore,103.85929,1.28624,"Daily, 10am - 7pm, Last admission at 6pm",6 Bayfront Ave,Catch world-class touring exhibitions at this premier exhibition space.,http://www.marinabaysands.com/museum.html,some crowd,some crowd,some crowd,some crowd,some crowd,some crowd,some crowd,$$,2,Indoors,NA,south
Old Ford Factory Singapore Museum,103.76883,1.35232,"Monday to Saturday, 9am - 5.30pm,Sunday, 12pm - 5.30pm",351 Upper Bukit Timah Road,The Old Ford Factory holds an archive of memories about Singapore's wartime occupation by the Japanese.,http://www.nas.gov.sg/moff/Home.aspx,closed,some crowd,some crowd,some crowd,some crowd,some crowd,some crowd,$$,3,Indoors,NA,west
Singapore Coins and Notes Museum & Museum Singapore,103.84452,1.28343,"Daily, 10am - 8pm","40 Pagoda Street, Level 1",The rare collection of currencies on display here tells Singapore's story through the money it has used over the years.,http://www.singaporecoinsandnotesmuseum.com/index1.php,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,$$,2,Indoors,NA,south
Singapore City Gallery,103.84513,1.27987,"Monday to Saturday, 9am - 5pm","45 maxwell Road, The URA Centre",The Singapore City Gallery tells the story of the city's physical transformation.,http://www.ura.gov.sg/uol/citygallery.aspx,some crowd,some crowd,some crowd,some crowd,some crowd,not crowded,closed,$,1.5,Indoors,NA,south
Changi Museum Singapore,103.97403,1.36218,"Daily, 9:30am - 5pm,(Last admission: 4.30pm)",1000 Upper Changi Road North,Changi Museum provides an emotional exploration of Singapore's wartime history during the Japanese Occupation.,http://www.changimuseum.sg,closed,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,$$,2,Outdoor,NA,east
MINT Museum of Toys Singapore & Toy Museum,103.85439,1.29631,"Daily, 9.30am - 6.30pm",26 Seah Street,This toy museum will delight both adults and kids with the vast collection of vintage toys and memorabilia from around the world.,http://www.emint.com,closed,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,$$$,1.5,Indoors,NA,south
"Chinese Heritage Centre, Singapore",103.68398,1.34379,"Monday to Friday, 9.30am - 5pm,Saturday and Sunday, 10am -5pm, Closed on public holidays",12 Nanyang Drive,The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.,https://www.ntu.edu.sg/chc,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$$$,2,Indoors,NA,west
Kampong Glam & Malay Culture in Singapore,103.8595,1.30238,NA,3 Muscat Street,"Discover Kampong Glam's rich history, living traditions, excellent eateries and trendy shops in this vibrant neighbourhood.",http://www.kampongglam.org.sg/,closed,not crowded,not crowded,not crowded,not crowded,crowded,some crowd,$,2,Outdoor,NA,south
Contemporary Arts Center,103.8045,1.275,"Tuesday to Sunday, 12pm - 7pm Friday, 12pm - 9pm , Closed on Monday. Open on public holiday.",43 Malan Road,"This university arts research centre explores contemporary art through exhibitions, public programmes, residencies and research programmes.",http://www.ntu.ccasingapore.org/,not crowded,not crowded,not crowded,not crowded,not crowded,closed,closed,$,2,Indoors,NA,south
"The Substation, Singapore Contemporary Art Centre",103.84934,1.2944,"The Substation Box Office ,Monday to Friday, 12pm - 2pm and 5pm - 8pm.Saturday and Sunday, open an   prior to weekend showtimes. Closed on public holidays.The Substation Gallery Daily, 12pm - 9pm Closed on public holidays",45 Armenian Street,This experimental arts centre gives a space for contemporary artists to try out new concepts.,http://www.substation.org,not crowded,not crowded,not crowded,not crowded,not crowded,closed,closed,$,1,Indoors,NA,south
"Red Dot Design Museum, Singapore",103.84572,1.27828,"Monday - Friday, 11am - 6 pm, Saturday and Sunday, 11am - 8 pm","28 maxwell Road, Red Dot Traffic","This museum holds more than 1,000 award-winning products, communications and concepts that will delight design fans.",http://museum.red-dot.sg,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,$$,2,Indoors,NA,south
Singapore Art Museum,103.851068,1.297424,"Monday to Thursday, 10am - 7pm, Friday, 10am - 9pm",71 Bras Basah Road,"Singapore Art Museum is Singapore's contemporary art museum, focused on Southeast Asian contemporary art.",http://www.singaporeartmuseum.sg,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,$$,1,Indoors,NA,south
Esplanade Theatres on the Bay,103.85528,1.2898,"Box Office Opening Hours Daily, 12pm - 8.30pm, The Esplanade Box Office will open 1   prior to show commencement for shows before 12 noon and will remain open up to half an   after show commencement for shows starting after 8.30pm.",1 Esplanade Drive,Catch a non-stop line-up of world-class performances at Singapore's premier arts centre.,http://www.esplanade.com/index.jsp,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$$$,2,Indoors,NA,south
"National Design Centre, Singapore",103.85351,1.29882,"Daily, 9.00am - 9.00pm",111 Middle Road,"The National Design Centre is the nexus for all things design. It hosts design exhibitions, events and programmes that will quicken the pulse of design lovers.",http://www.designsingapore.org/ndc/About_NDC.aspx,crowded,crowded,crowded,crowded,crowded,crowded,some crowd,$,2,Indoors,NA,south
Victoria Theatre Singapore,103.851641,1.28837,"Daily, 10am - 9pm",11 Empress Place,"After a four-year refurbishment, the Victoria Theatre and Concert Hall has since reopened, with its first official concert held there in August 2014.",https://www.nac.gov.sg/arts-spaces/nac-arts-venues,some crowd,some crowd,some crowd,some crowd,some crowd,closed,closed,$$$$,1,Indoors,NA,south
"NUS University Museum, Singapore",103.772686,1.301775,"Tuesday to Friday, 10am - 7.30pm,Saturday and Sunday, 10am - 6pm","50 Kent Ridge Crescent, National University of Singapore",Get a deeper insight into Asian art and artefacts at this museum on the campus of the National University of Singapore.,http://www.nus.edu.sg/cfa/museum/,closed,some crowd,some crowd,some crowd,some crowd,some crowd,closed,$,2,Indoors,NA,west
Sun Yat Sen Memorial Hall,103.84692,1.32795,"Tuesday to Sunday, 10am - 5pm, Closed on Monday",12 Tai Gin Road,This revamped museum is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen.,http://www.sysnmh.org.sg,closed,not crowded,some crowd,not crowded,not crowded,some crowd,some crowd,$$,2,Indoors,NA,central
Asian Civilisations Museum & Singapore Museum,103.851723,1.287384,"Saturday to Thursday, 10am - 7pm, Friday, 10am - 9pm",1 Empress Place,"Housed in a historical building by the Singapore River, this museum tells the stories of Asian civilisations through its permanent collections.",http://acm.org.sg/,some crowd,some crowd,some crowd,some crowd,some crowd,crowded,crowded,$$$,2,Indoors,NA,south
Singapore Botanic Gardens,103.815914,1.31384,"Singapore Botanic Gardens Daily, 5am - 12am National Orchid Garden Daily, 8.30am - 7pm(last ticket sales at 6pm)Jacob Ballas Children's Garden Tuesday to Sunday, 8am - 7pm(last admission: 6.30pm)Closed every Monday (except when it falls on a designated public holiday)SBG Heritage MuseumDaily*, 9am - 6pm*Closed every last Monday of the month (except when it falls on a designated public holiday, it will be closed the following day)",1 Cluny Road,"Singapore's oldest garden is a treasure trove for plant lovers, or those who simply want to have a good time outdoors.",http://www.sbg.org.sg,some crowd,some crowd,some crowd,some crowd,some crowd,crowded,crowded,$$,2,Outdoor,NA,south
Singapore Zoo,103.793023,1.404348,"Daily, 8.30am - 6pm(last ticket sale at 5.30pm)",80 Mandai Lake Road,"Singapore's zoo is a beautiful, award-winning wildlife park, where animals can roam freely in their natural habitats.",http://www.zoo.com.sg,some crowd,some crowd,some crowd,some crowd,some crowd,crowded,crowded,$$$$,3,Outdoor,NA,north
River Wonders,103.789423,1.403732,"Daily, 10am - 7pm",80 Mandai Lake Road,"At the River Safari Singapore, meet manatees and monkeys, piranhas and pandas, as they congregate in and around the park's waters.",http://www.riversafari.com.sg,some crowd,some crowd,some crowd,some crowd,some crowd,crowded,crowded,$$$$,3,Indoors,NA,north
Cable Car Singapore ,103.819206,1.271375,NA,109 Mount Faber Road,Getting to this hilltop dining and entertainment spot at Mount Faber by cable car  is half the fun.,http://www.mountfaber.com.sg/,not crowded,some crowd,some crowd,not crowded,not crowded,some crowd,some crowd,$$$,1.5,Indoors,Subject to weather,south
"Night Safari, Singapore",103.788061,1.402187,"Daily, 7.30pm - 12am .Last ticket sale at 11.15pm.F and B and retail outlets open from 5.30pm",80 Mandai Lake Road,"Instead of going to a club, pop into another popular nightspot, the Night Safari, and mingle with a different crowd of animals at this special zoo.",http://www.nightsafari.com.sg,closed,closed,closed,not crowded,some crowd,crowded,some crowd,$$$$,3,Outdoors,NA,north
Pulau Ubin & Singapore Islands,103.959261,1.413741,NA,Pulau Ubin,"Gravel roads, lush forests and abundant wildlife - Pulau Ubin is a living showcase of what Singapore was like in the 1960s.",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&amp;task=parks&amp;id=29&amp;Itemid=73,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,not crowded,$$,3,Outdoors,NA,east
Little India Singapore: History & Culture,103.84982,1.30723,NA,60 Bukit Timah Road,Little India is a buzzing historic area that shows off the best of Singapore's Indian community from vibrant culture to incredible shopping.,http://www.littleindia.com.sg/,some crowd,some crowd,some crowd,some crowd,some crowd,crowded,crowded,$,2,Outdoors,NA,south
Orchard Road,103.83249,1.30429,NA,437 Orchard Road,"Orchard Road, Asia's most famous shopping street, is home to fashion favourites, specialist stores and loads of other lifestyle choices.",http://www.orchardroad.org/,not crowded,not crowded,not crowded,not crowded,some crowd,crowded,crowded,$,2,Indoors,NA,south
MacRitchie Reservoir,103.822346,1.344843,NA,MacRitchie Reservoir Park,The attractions around MacRitchie Reservoir is a playground of nature for those who love the outdoors.,http://www.nparks.gov.sg/cms/macritchie.php?option=com_visitorsguide&amp;task=naturereserves&amp;id=49&amp;Itemid=75,not crowded,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,$,2,Outdoors,NA,central
Civic District,103.85222,1.29324,NA,150 North Bridge Road,"The Civic District is where Singapore's historical, architectural and cultural heritage started.",NA,not crowded,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,$,2,Outdoors,NA,south
VivoCity (Harbourfront) ,103.82057,1.26532,NA,81 Telok Blangah Road,"HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a regional ferry or simply want to eat, shop or relax.",http://www.shba.org.sg/,some crowd,some crowd,some crowd,some crowd,some crowd,crowded,crowded,$,2,Indoors,NA,south
Bras Basah.Bugis Arts Singapore Cultural District (Artholic) ,103.85624,1.30069,NA,220 Victoria Street,"The Bras Basah.Bugis Precinct is the arts and heritage district in Singapore's civic centre, and home to museums and monuments.",http://www.brasbasahbugis.sg/,some crowd,some crowd,some crowd,some crowd,some crowd,crowded,crowded,$$,1,Indoors,NA,south
SAM at 8Q & Singapore Art Museum,103.85168,1.29731,"Monday to Thursday, 10am - 7pm, Friday, 10am - 9pm",8 Queen Street,"An extension of the Singapore Art Museum, SAM at 8Q features contemporary art exhibitions and is home to a Moving Image Gallery, where film screenings are held.",NA,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,temporarily closed,$$,1,Indoors,NA,south
Jamae Mosque (Masjid Chulia) Singapore,103.84554,1.28311,Daily,218 South Bridge Road,"Also known as Masjid Chulia, Jamae Mosque is one of Singapore's oldest mosques and a prominent landmark in Chinatown since the 1820s.",http://www.masjidjamaechulia.sg/,not crowded,some crowd,not crowded,not crowded,crowded,some crowd,some crowd,$,1,Indoors,NA,south
Institute of Contemporary Arts Singapore,103.8516,1.3029,"Tuesday to Sunday, 12pm - 7pm, Closed on Monday and public holidays","LASALLE College of the Arts, 1 McNally Street",This experimental art space housed in a tertiary arts college will help you deepen your understanding of contemporary art.,https://www.lasalle.edu.sg/ICAS/About-ICAS,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,closed,$,2,Indoors,NA,south
Singapore Flyer,103.863137,1.289299,"Daily, 8.30am - 10.30pm, (last admission: 10.15pm)",30 Raffles Avenue,"This giant observation wheel offers 360-degree city views, a panorama that stretches to parts of Malaysia and Indonesia on a clear day.",http://www.singaporeflyer.com,closed,closed,closed,some crowd,crowded,crowded,max,$$$,1,Indoors,Subject to weather,south
Marina Bay Sands¨,103.86081,1.283456,"SkyPark¨ Operating Hours - Monday to Thursday, 9:30am - 10pm, Friday to Sunday, 9:30am - 11pm, Shoppes Daily, 10am - 10pm (  vary by store)",10 Bayfront Avenue,"A feat of engineering, an architectural statement and a sheer aesthetic triumph, Marina Bay Sands¨ has upped the ante for buildings in Singapore.",http://www.marinabaysands.com,not crowded,not crowded,some crowd,some crowd,crowded,max,crowded,$,2,Indoors,NA,south
Marina Barrage,103.87159,1.28063,"Marina Barrage - All day  Information Counter Daily, 9am - 9pm",8 Marina Gardens Drive,This innovative facility not only supplies water to Singaporeans and helps alleviate floods but also doubles up as a place for family fun.,https://www.pub.gov.sg/marinabarrage,some crowd,not crowded,some crowd,some crowd,some crowd,crowded,crowded,$,1,Outdoors,NA,south
Henderson Waves Bridge,103.815254,1.276242,"Daily, 24",Henderson Road,Lush jungle is broken up with a seriously creative twist in the fantastic form of the Henderson Waves bridge.,http://www.nparks.gov.sg,some crowd,not crowded,some crowd,some crowd,some crowd,crowded,crowded,$,2,Outdoors,NA,south
Labrador Nature Reserve,103.801944,1.265833,NA,Labrador Villa Road,"With its rich biodiversity and war relics, nature lovers and history enthusiasts will find plenty to do at Labrador Nature Reserve.",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&amp;task=naturereserves&amp;id=48,not crowded,not crowded,some crowd,some crowd,some crowd,crowded,crowded,$,2,Outdoors,NA,south
Chek Jawa,103.96371,1.407866,NA,"Chek Jawa, Pulau Ubin","A world away from shopping malls and glitzy hotels, this natural wonder is one of Singapore's richest eco-systems.",https://www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/pulau-ubin-and-chek-jawa/what-to-see/about-chek-jawa,not crowded,not crowded,not crowded,not crowded,not crowded,crowded,some crowd,$$,2,Outdoors,NA,east
"Merlion Park, Singapore: Attractions & Things to Do",103.854552,1.286862,NA,One Fullerton,"Half-fish and half-lion, the iconic Merlion resides at the waterfront Merlion Park.",NA,not crowded,not crowded,some crowd,some crowd,crowded,crowded,crowded,$,2,Outdoors,NA,south
